SchoolYear,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Grade,Subject,Subgroup_1,Subgroup_2,PercentAssessed
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","Female","Students with Disabilities","42.1"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","Female","Not English Learners","62.4"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","Female","English Learners","51.9"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","Male","Not English Learners","62.2"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","Male","English Learners","54.2"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","American Indian or Alaska Native","Female","< 10"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","American Indian or Alaska Native","Not English Learners","< 10"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","American Indian or Alaska Native","English Learners","< 10"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","American Indian or Alaska Native","Male","< 10"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","Native Hawaiian or Other Pacific Islander","Male","> 95"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","Native Hawaiian or Other Pacific Islander","Not English Learners","> 95"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","Native Hawaiian or Other Pacific Islander","English Learners","< 10"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","Native Hawaiian or Other Pacific Islander","Female","< 10"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","English Language Arts","Native Hawaiian or Other Pacific Islander","Students without IEP","> 95"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","Native Hawaiian or Other Pacific Islander","Not English Learners","73.3"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","00000","All Buildings","63","Oakland","LEA District","Elem thru High School","City: Small","Oakland Region","5","All Grades","Mathematics","Native Hawaiian or Other Pacific Islander","English Learners","< 10"
